TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
204,1,33.7555,-84.33606,For Profit
102,2,33.75556,-84.40241,Non-Profit
100,1,33.756,-84.34583,Non-Profit
182,0,33.75608,-84.38077,Non-Profit
189,3,33.75659,-84.39831,For Profit
27,1,33.75684,-84.38513,For Profit
15,1,33.75691,-84.39002,For Profit
225,1,33.75703,-84.38944,Non-Profit
58,1,33.75772,-84.37022,Non-Profit
58,0,33.75786,-84.371,Non-Profit
180,1,33.75803,-84.41203,For Profit
222,1,33.758232,-84.414017,For Profit
90,1,33.75827,-84.50343,For Profit
136,3,33.75833,-84.34579,Multiple
132,0,33.75838,-84.34483,For Profit
132,2,33.75839,-84.345,Multiple
40,2,33.76003,-84.32151,Multiple
90,0,33.76032,-84.38605,For Profit
58,0,33.7611,-84.50272,For Profit
102,0,33.76136,-84.50018,For Profit
150,1,33.76148,-84.38788,For Profit
152,0,33.76406,-84.51325,For Profit
150,1,33.76445,-84.3741,For Profit
120,1,33.76448,-84.38568,Multiple
153,2,33.76459,-84.51024,For Profit
98,2,33.7648,-84.44062,For Profit
157,7,33.76778,-84.37228,For Profit
170,2,33.76791,-84.39395,For Profit
65,1,33.76817,-84.36052,For Profit
186,4,33.76888,-84.3922,For Profit
36,1,33.77223,-84.37437,Non-Profit
100,2,33.77322,-84.35015,Non-Profit
61,1,33.7734,-84.35604,For Profit
201,3,33.77418,-84.35306,For Profit
224,2,33.77451,-84.38268,Non-Profit
55,0,33.77752,-84.47023,Non-Profit
175,3,33.77784,-84.47742,For Profit
420,1,33.78229,-84.49299,For Profit
138,2,33.7854,-84.44616,For Profit
112,2,33.78572,-84.45835,Multiple
130,1,33.78876,-84.40515,Non-Profit
164,0,33.7891,-84.4728,For Profit
214,1,33.78913,-84.47643,For Profit
190,4,33.78998,-84.47005,For Profit
191,1,33.78998,-84.47005,For Profit
165,1,33.7908,-84.44122,For Profit
154,2,33.79185,-84.44316,For Profit
55,0,33.792118,-84.447681,Non-Profit
124,1,33.79378,-84.44809,For Profit
152,2,33.79443,-84.45034,For Profit
132,2,33.79503,-84.45028,For Profit
216,1,33.79956,-84.47237,Multiple
163,2,33.801,-84.46771,For Profit
120,1,33.80206,-84.39287,For Profit
230,0,33.8061,-84.33597,Non-Profit
201,0,33.80616,-84.336,Non-Profit
50,1,33.81708,-84.45211,Non-Profit
152,1,33.82113,-84.44866,For Profit
196,1,33.83161,-84.38554,Non-Profit
342,4,33.83576,-84.38548,For Profit
125,2,33.83705,-84.3158,Non-Profit
241,2,33.83779,-84.37196,Non-Profit
8,1,33.83888,-84.42825,Non-Profit
60,0,33.84021,-84.42805,Non-Profit
200,2,33.84053,-84.42856,Non-Profit
197,2,33.91484,-84.37624,Non-Profit
152,1,33.91967,-84.33598,For Profit
125,1,33.98556,-84.35203,For Profit
58,1,37.73565,-122.1838,For Profit
13,0,37.74106,-122.17653,For Profit
12,0,37.74139,-122.14966,For Profit
49,0,37.74184,-122.16864,Non-Profit
12,0,37.74893,-122.16164,For Profit
137,1,37.75014,-122.18585,Non-Profit
20,1,37.75182,-122.18488,Non-Profit
76,0,37.75556,-122.17951,Non-Profit
51,1,37.75591,-122.18075,Non-Profit
71,1,37.75661,-122.19717,For Profit
115,1,37.75713,-122.19681,For Profit
146,1,37.75727,-122.19978,For Profit
24,2,37.7582,-122.18506,Non-Profit
54,2,37.76112,-122.16326,Non-Profit
120,1,37.76125,-122.16159,Non-Profit
20,1,37.76235,-122.16451,For Profit
30,1,37.76248,-122.19365,Non-Profit
1,0,37.76287,-122.1943,For Profit
4,1,37.76415,-122.17122,For Profit
12,1,37.7647,-122.1687,Non-Profit
24,1,37.76478,-122.19851,For Profit
69,1,37.76814,-122.17923,For Profit
65,0,37.76974,-122.17581,For Profit
19,1,37.76996,-122.17737,Non-Profit
51,1,37.77036,-122.18396,Multiple
54,0,37.77039,-122.18522,For Profit
61,0,37.77144,-122.19534,Non-Profit
4,0,37.77316,-122.1996,For Profit
68,1,37.77434,-122.22165,Non-Profit
92,2,37.7816,-122.23393,Multiple
26,1,37.78187,-122.23316,Multiple
20,2,37.78283,-122.21979,Multiple
35,1,37.783,-122.23079,For Profit
42,0,37.78397,-122.22854,For Profit
65,2,37.7844,-122.22732,Non-Profit
100,2,37.78534,-122.22219,Non-Profit
106,1,37.78668,-122.21171,For Profit
9,0,37.78827,-122.24211,For Profit
4,1,37.78975,-122.23073,For Profit
54,2,37.79282,-122.25388,Non-Profit
1,0,37.79293,-122.22645,For Profit
4,0,37.79342,-122.21343,For Profit
117,1,37.79349,-122.25141,For Profit
23,0,37.7942,-122.2389,For Profit
69,1,37.79564,-122.26639,Non-Profit
40,1,37.79665,-122.25668,For Profit
80,3,37.79693,-122.25673,Non-Profit
30,1,37.79739,-122.24206,For Profit
66,1,37.79778,-122.25766,For Profit
55,1,37.79903,-122.25719,For Profit
39,1,37.79909,-122.26422,For Profit
82,2,37.79989,-122.21408,For Profit
143,2,37.79992,-122.25528,For Profit
9,0,37.8001,-122.21495,For Profit
93,4,37.80019,-122.22132,Non-Profit
32,1,37.8004,-122.27457,For Profit
19,1,37.80137,-122.2057,Non-Profit
18,1,37.80191,-122.27563,For Profit
119,1,37.802,-122.2677,For Profit
315,2,37.80205,-122.26734,For Profit
102,2,37.8025,-122.27072,For Profit
50,1,37.80267,-122.21665,Non-Profit
195,3,37.80301,-122.26181,For Profit
81,1,37.80314,-122.26759,For Profit
130,2,37.8032,-122.26611,Non-Profit
106,1,37.80342,-122.26741,For Profit
126,1,37.80352,-122.285,For Profit
124,1,37.80352,-122.285,For Profit
231,2,37.80424,-122.28562,For Profit
73,1,37.80484,-122.26653,Multiple
168,2,37.80487,-122.29227,For Profit
61,1,37.80497,-122.28021,Non-Profit
101,3,37.80537,-122.28187,Non-Profit
102,2,37.80588,-122.27462,Non-Profit
73,1,37.8059,-122.2749,For Profit
25,1,37.80636,-122.28652,Non-Profit
54,0,37.80638,-122.2816,Non-Profit
202,1,37.8066,-122.27461,For Profit
32,0,37.80666,-122.30078,For Profit
346,1,37.80671,-122.22416,Non-Profit
26,1,37.80704,-122.27573,For Profit
22,1,37.80764,-122.30226,For Profit
31,1,37.80807,-122.29317,For Profit
196,2,37.80842,-122.28101,For Profit
27,1,37.80892,-122.2825,Non-Profit
66,1,37.8097,-122.29333,Non-Profit
144,1,37.80976,-122.2732,For Profit
93,1,37.81044,-122.26965,For Profit
352,1,37.81054,-122.27017,For Profit
2,1,37.81075,-122.29866,For Profit
89,1,37.81076,-122.27866,For Profit
10,2,37.81184,-122.28291,Non-Profit
41,2,37.81294,-122.2702,Non-Profit
201,1,37.81373,-122.26973,Non-Profit
13,0,37.81451,-122.25767,Non-Profit
151,1,37.81533,-122.28234,Non-Profit
42,2,37.816,-122.26852,For Profit
200,1,37.816,-122.26227,For Profit
200,2,37.81605,-122.26256,For Profit
150,2,37.81624,-122.26257,Non-Profit
20,1,37.81663,-122.26581,For Profit
43,1,37.81699,-122.27553,For Profit
38,0,37.81704,-122.28321,For Profit
1,0,37.81713,-122.27637,For Profit
250,1,37.82307,-122.2565,Multiple
2,0,37.82333,-122.28803,For Profit
65,1,37.8237,-122.2777,For Profit
60,2,37.82374,-122.27753,Non-Profit
2,0,37.82528,-122.28673,For Profit
150,1,37.82679,-122.27867,For Profit
77,3,37.82767,-122.25428,For Profit
12,0,37.83179,-122.25338,For Profit
2,1,37.83458,-122.27431,For Profit
201,2,37.83873,-122.2623,Multiple
39,1,37.83966,-122.2519,Non-Profit
17,2,37.8434,-122.28044,For Profit
88,2,37.84352,-122.27071,Non-Profit
44,0,37.84715,-122.28393,Non-Profit
77,2,37.84716,-122.26604,For Profit
55,2,37.84728,-122.28472,Non-Profit
98,1,40.34165,-79.98208,For Profit
100,1,40.36243,-80.06672,For Profit
62,0,40.36704,-79.96601,For Profit
100,0,40.37198,-80.03331,Non-Profit
135,0,40.375731,-80.068781,Non-Profit
47,2,40.38338,-79.9713,For Profit
144,1,40.38559,-79.9419,For Profit
1,0,40.38925,-79.98918,For Profit
26,0,40.3912,-80.01524,Non-Profit
77,2,40.39199,-80.01007,Multiple
43,0,40.39721,-80.03592,Non-Profit
52,2,40.40567,-80.02685,Non-Profit
3,0,40.40571,-79.94604,For Profit
97,2,40.40866,-79.94237,For Profit
190,1,40.41025,-79.85326,For Profit
2,0,40.41136,-80.02074,For Profit
219,1,40.41188,-79.85428,For Profit
30,0,40.41246,-79.98723,Non-Profit
137,0,40.41367,-79.92156,Non-Profit
12,1,40.4145,-79.99264,Non-Profit
25,0,40.41556,-79.99347,For Profit
23,1,40.4166,-80.00881,Non-Profit
1,1,40.41753,-80.00877,For Profit
25,1,40.41979,-79.8496,Non-Profit
4,0,40.42001,-79.97266,For Profit
43,1,40.42195,-80.00932,Non-Profit
102,1,40.42206,-79.89106,For Profit
107,2,40.42336,-80.00477,For Profit
2,0,40.42466,-80.01113,For Profit
2,0,40.42622,-79.96824,For Profit
40,0,40.42641,-79.94315,Non-Profit
133,2,40.42729,-80.06001,For Profit
98,2,40.42734,-80.00716,Non-Profit
133,1,40.42857,-79.97598,For Profit
117,1,40.42966,-79.92159,Non-Profit
15,1,40.43063,-79.95295,Non-Profit
20,1,40.43142,-80.00793,For Profit
12,0,40.43329,-79.92489,Non-Profit
106,2,40.43632,-80.06869,For Profit
10,1,40.43732,-79.92095,Non-Profit
43,2,40.43738,-79.9761,Non-Profit
56,1,40.43775,-80.02127,Non-Profit
24,2,40.4383,-79.87912,Non-Profit
50,1,40.43837,-79.9759,For Profit
50,1,40.43896,-79.95262,For Profit
15,1,40.43899,-79.98373,Non-Profit
270,0,40.43946,-80.00117,For Profit
4,0,40.43987,-80.03446,For Profit
56,1,40.44006,-79.98204,Multiple
23,2,40.44011,-79.98038,For Profit
23,1,40.44026,-79.98091,For Profit
4,0,40.44027,-79.8847,For Profit
203,0,40.441021,-79.985995,For Profit
15,1,40.44131,-79.8858,For Profit
88,0,40.44191,-80.0022,For Profit
44,1,40.44193,-80.04635,Non-Profit
23,1,40.44201,-79.98032,For Profit
97,2,40.4424,-79.88514,For Profit
74,1,40.4424,-79.98577,For Profit
94,2,40.4426,-80.0002,For Profit
101,2,40.44288,-79.98017,Non-Profit
191,0,40.44291,-80.00184,For Profit
150,1,40.44295,-79.96821,Multiple
61,1,40.44297,-80.06364,Non-Profit
63,1,40.4431,-79.9821,For Profit
17,1,40.443416,-79.983457,For Profit
27,1,40.4435,-80.04249,Non-Profit
48,1,40.44355,-79.97814,For Profit
60,2,40.44363,-80.00074,For Profit
14,2,40.44374,-79.86936,For Profit
190,1,40.44398,-79.98695,For Profit
24,1,40.44477,-79.97976,Non-Profit
108,2,40.44482,-79.97798,For Profit
66,2,40.44483,-79.98571,For Profit
99,1,40.44589,-79.98051,For Profit
4,1,40.44594,-79.97003,For Profit
15,1,40.44631,-79.96918,Non-Profit
200,1,40.44691,-80.0528,For Profit
58,1,40.44711,-79.96695,Non-Profit
81,1,40.44736,-80.05195,For Profit
116,2,40.44796,-79.97918,For Profit
36,0,40.44905,-79.89991,For Profit
1,0,40.45034,-79.88856,For Profit
21,1,40.45087,-80.02633,Non-Profit
158,1,40.45111,-79.95351,For Profit
8,1,40.45187,-79.9597,For Profit
136,2,40.45218,-80.00279,For Profit
39,1,40.45232,-79.9689,Non-Profit
20,1,40.45241,-80.02602,For Profit
32,0,40.45283,-79.96901,Non-Profit
91,0,40.45312,-79.87471,For Profit
37,2,40.45319,-79.96967,For Profit
20,0,40.45324,-80.02153,For Profit
141,1,40.45374,-79.95373,For Profit
73,2,40.45406,-80.05327,Non-Profit
112,3,40.45438,-80.01418,Multiple
117,5,40.45456,-79.86935,For Profit
25,1,40.45459,-80.02202,For Profit
115,0,40.45508,-79.89386,For Profit
248,0,40.45512,-79.85829,For Profit
140,1,40.45519,-79.86675,For Profit
66,2,40.45543,-79.87102,For Profit
91,1,40.456131,-80.032072,Multiple
52,2,40.45626,-79.89496,Non-Profit
71,3,40.4567,-79.90096,For Profit
324,1,40.45672,-80.01516,For Profit
1,1,40.45691,-79.88205,For Profit
